feature,coefficient
Tt.BMD.1,0.00000000
Tt.Ar.1,-0.21158322
Tb.BMD.1,0.00000000
BV/TV.1,0.03824500
Tb.N.1,1.08922690
Tb.Th.1,-1.09790346
Tb.Sp.1,-0.47297842
Tb.1/N.SD.1,1.22671403
Tb.Ar.1,-0.32018287
Ct.BMD.1,-0.97104972
Ct.Th.1,0.00000000
Ct.Pm.1,0.00000000
Ct.Ar.1,0.24634292
