feature,coefficient
Tt.BMD.1,-2.64944867
Tt.Ar.1,-0.69190893
Tb.BMD.1,0.00000000
BV/TV.1,-2.47039333
Tb.N.1,2.81640066
Tb.Th.1,1.82195678
Tb.Sp.1,-2.98709236
Tb.1/N.SD.1,2.94357586
Tb.Ar.1,-0.83169751
Ct.BMD.1,-0.90683678
Ct.Th.1,1.44053033
Ct.Po.1,-0.22222462
Ct.Po.Dm.1,-0.89334186
Ct.Pm.1,0.00000000
Ct.Ar.1,0.00000000
