feature,coefficient
Tt.BMD,0.00000000
Tt.Ar,0.00000000
Tb.BMD,-1.24603926
BV/TV,-1.36905529
Tb.N,3.21396200
Tb.Th,0.06416006
Tb.Sp,-1.83901240
Tb.1/N.SD,2.55320562
Tb.Ar,-0.69440690
Ct.BMD,-1.19121107
Ct.Th,0.49545529
Ct.Pm,0.00000000
Ct.Ar,0.00000000
