Tt.BMD,Tt.Ar,Tb.BMD,BV/TV,Tb.N,Tb.Th,Tb.Sp,Tb.1/N.SD,Tb.Ar,Ct.BMD,Ct.Th,Ct.Po,Ct.Po.Dm,Ct.Pm,Ct.Ar,value,bone,xct
250.69542857,299.44114286,119.14228571,0.17430286,1.17617714,0.22704000,0.93311429,0.48040000,248.28371429,832.14000000,0.89352000,0.00739143,0.17584857,73.63457143,55.11885714,mean,radius,XCT2
63.94634610,73.56665175,42.93302805,0.05618256,0.30947905,0.01728744,0.50805928,0.45905348,67.90414667,86.43424189,0.20371799,0.00499982,0.02867268,9.58126918,13.97320860,var,radius,XCT2
