feature,coefficient
Tt.BMD.1,-0.32794104
Tt.Ar.1,-0.29538039
Tb.BMD.1,0.00000000
BV/TV.1,-1.71385242
Tb.N.1,1.08969314
Tb.Th.1,1.04769642
Tb.Sp.1,-1.59471902
Tb.1/N.SD.1,1.50546937
Tb.Ar.1,-0.43839204
Ct.BMD.1,-1.31989866
Ct.Th.1,0.79545924
Ct.Po.1,-0.58636714
Ct.Po.Dm.1,-1.30700677
Ct.Pm.1,0.00000000
Ct.Ar.1,0.00000000
