feature,coefficient
Tt.BMD,0.00000000
Tt.Ar,-0.07269662
Tb.BMD,0.00000000
BV/TV,-2.86874319
Tb.N,2.10919845
Tb.Th,1.39870286
Tb.Sp,-1.26678596
Tb.1/N.SD,1.47910082
Tb.Ar,-0.15464419
Ct.BMD,-0.99319338
Ct.Th,0.49056581
Ct.Po,-0.40174854
Ct.Po.Dm,-0.48024280
Ct.Pm,-0.47360208
Ct.Ar,0.00000000
