feature,coefficient
Tt.BMD.1,-0.73083578
Tt.Ar.1,-0.85159215
Tb.BMD.1,0.00000000
BV/TV.1,0.37383110
Tb.N.1,1.18817222
Tb.Th.1,-1.36572499
Tb.Sp.1,-1.77109326
Tb.1/N.SD.1,2.65866928
Tb.Ar.1,-0.00574998
Ct.BMD.1,-1.17129791
Ct.Th.1,0.00000000
Ct.Pm.1,0.00000000
Ct.Ar.1,0.84175879
