Tt.BMD.1,Tt.Ar.1,Tb.BMD.1,BV/TV.1,Tb.N.1,Tb.Th.1,Tb.Sp.1,Tb.1/N.SD.1,Tb.Ar.1,Ct.BMD.1,Ct.Th.1,Ct.Pm.1,Ct.Ar.1,value,bone,xct
224.37628571,774.18542857,138.35742857,0.11528571,1.63614286,0.07214286,0.60145714,0.36281714,666.62857143,728.88028571,0.76934286,109.82400000,83.92714286,mean,tibia,XCT1
51.54285798,138.41078339,36.73779508,0.03061230,0.41918865,0.01521323,0.28052301,0.36840019,136.08030039,75.31353007,0.27415714,10.12640091,30.27893526,var,tibia,XCT1
