Tt.BMD.1,Tt.Ar.1,Tb.BMD.1,BV/TV.1,Tb.N.1,Tb.Th.1,Tb.Sp.1,Tb.1/N.SD.1,Tb.Ar.1,Ct.BMD.1,Ct.Th.1,Ct.Po.1,Ct.Po.Dm.1,Ct.Pm.1,Ct.Ar.1,value,bone,xct
236.12028571,772.76828571,141.33371429,0.21526857,1.17856286,0.25761714,0.90506857,0.46684000,670.22857143,803.23428571,1.20405429,0.03061714,0.22238857,108.67228571,108.18085714,mean,tibia,XCT2
58.48379815,162.73524035,41.35164540,0.05325064,0.26432281,0.02632341,0.43758296,0.50580160,159.34928423,87.30766467,0.30208980,0.01523855,0.03249858,11.67069849,28.05147828,var,tibia,XCT2
