Tt.BMD,Tt.Ar,Tb.BMD,BV/TV,Tb.N,Tb.Th,Tb.Sp,Tb.1/N.SD,Tb.Ar,Ct.BMD,Ct.Th,Ct.Pm,Ct.Ar,value,bone,xct
250.02142857,290.32857143,121.74085714,0.10145429,1.66665714,0.06130571,0.59971143,0.34513143,233.23771429,743.89485714,0.56974286,72.85314286,41.33371429,mean,radius,XCT1
58.38262338,67.28762727,36.91239922,0.03076959,0.42207240,0.01188640,0.28381676,0.28996448,61.65613913,80.40492932,0.19304387,8.88785553,14.76032735,var,radius,XCT1
